net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Dorpsstraat,7468CP,7471AA,ENTER,19,89,95,89,1x35,3810,89,89
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,De Stoevelaar,7471AB,7471AB,GOOR,40,100,98,78,1x35,2637,95,83
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,De Stoevelaar,7471AC,7471AC,GOOR,16,100,100,100,1x35,1366,100,94
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,De Stoevelaar,7471AD,7471AE,GOOR,41,93,85,54,3x25,5101,93,78
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AG,7471AG,GOOR,14,86,100,36,1x25,4315,100,93
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AH,7471AH,GOOR,20,80,100,50,1x35,4881,95,85
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AJ,7471AJ,GOOR,11,91,100,73,3x25,2817,100,82
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AK,7471AK,GOOR,21,90,81,38,1x25,4740,90,62
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AL,7471AL,GOOR,12,100,100,67,1x35,3923,100,83
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AM,7471AN,GOOR,17,88,94,53,3x25,7163,100,82
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Stationslaan,7471AP,7471AP,GOOR,18,94,100,50,1x35,7026,100,89
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Waterstraat,7471AR,7471AR,GOOR,68,87,100,90,1x35,3279,100,96
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Zonnebloemstraat,7471AS,7471AS,GOOR,34,88,97,59,1x35,3040,94,88
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Irisstraat,7471AT,7471AT,GOOR,22,91,95,45,1x35,4086,95,82
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Zonnebloemstraat,7471AV,7471AV,GOOR,29,90,100,83,1x35,3183,100,93
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Irisstraat,7471AW,7471AW,GOOR,19,58,100,53,1x35,2904,95,89
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,De Braak,7471AX,7471AZ,GOOR,20,90,100,55,3x25,9343,100,90
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kloosterlaan,7471BA,7471BA,GOOR,35,77,100,43,1x35,3688,100,86
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kloosterlaan,7471BB,7471BB,GOOR,24,83,100,46,1x35,2590,100,96
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kloosterlaan,7471BC,7471BC,GOOR,20,80,100,40,3x25,4118,100,95
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Buitenhagen,7471BD,7471BD,GOOR,38,79,100,79,3x25,4176,97,95
