net_manager,purchase_area,street,zipcode_from,zipcode_to,city,delivery_perc,perc_of_active_connections,%Defintieve aansl (NRM),type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,num_connections
westland-infra,871687800090000015,OOSTEINDE,2291AA,2291AE,WATERINGEN,89.29,100.0,100,57,3x25,5851,96.43,71.43,28
westland-infra,871687800090000015,WATERPARK,2291AK,2291AK,WATERINGEN,62.5,100.0,100,60,1x35,5077,97.5,87.5,40
westland-infra,871687800090000015,AZALEAPARK,2291AL,2291AL,WATERINGEN,100.0,100.0,100,86,1x35,3078,100.0,96.55,29
westland-infra,871687800090000015,DRUIVENLAAN,2291AN,2291AT,WATERINGEN,62.26,100.0,100,81,3x25,3956,100.0,96.23,53
westland-infra,871687800090000015,KWAKLAAN,2291AV,2291AV,WATERINGEN,100.0,100.0,100,78,1x35,2574,100.0,94.44,18
westland-infra,871687800090000015,VLOTLAAN,2291AW,2291AX,WATERINGEN,88.89,100.0,100,85,1x35,2163,92.59,85.19,27
westland-infra,871687800090000015,VLIETLAAN,2291AZ,2291AZ,WATERINGEN,95.83,100.0,100,88,1x35,2718,100.0,79.17,24
westland-infra,871687800090000015,HERENSTRAAT,2291BB,2291BB,WATERINGEN,96.43,100.0,100,43,3x25,10493,100.0,64.29,28
westland-infra,871687800090000015,HERENSTRAAT,2291BC,2291BC,WATERINGEN,91.67,100.0,100,42,1x35,9511,100.0,91.67,12
westland-infra,871687800090000015,HERENSTRAAT,2291BD,2291BG,WATERINGEN,93.75,93.75,100,31,1x35,13950,87.5,75.0,16
westland-infra,871687800090000015,HERENSTRAAT,2291BH,2291BH,WATERINGEN,100.0,100.0,100,50,1x35,12963,88.89,72.22,18
westland-infra,871687800090000015,HERENSTRAAT,2291BJ,2291BK,WATERINGEN,92.31,100.0,100,62,3x25,8616,96.15,69.23,26
westland-infra,871687800090000015,HERENSTRAAT,2291BL,2291BR,WATERINGEN,95.12,100.0,100,66,1x35,2801,90.24,87.8,41
westland-infra,871687800090000015,ARKPAVILJOEN,2291BS,2291BS,WATERINGEN,100.0,100.0,100,89,1x35,1288,94.44,83.33,18
westland-infra,871687800090000015,ARKPAVILJOEN,2291BT,2291BT,WATERINGEN,100.0,100.0,100,89,1x35,1282,100.0,83.33,18
westland-infra,871687800090000015,ARKPAVILJOEN,2291BV,2291BV,WATERINGEN,100.0,100.0,100,85,1x35,1395,100.0,85.0,20
westland-infra,871687800090000015,HEULWEG,2291BW,2291BW,WATERINGEN,92.31,100.0,100,54,3x25,6795,100.0,46.15,13
westland-infra,871687800090000015,HEULWEG,2291BX,2291BZ,WATERINGEN,79.17,100.0,100,63,3x25,5597,91.67,75.0,24
westland-infra,871687800090000015,PLEIN,2291CA,2291CA,WATERINGEN,95.0,100.0,100,40,3x25,17618,90.0,80.0,20
westland-infra,871687800090000015,PLEIN,2291CB,2291CB,WATERINGEN,100.0,100.0,100,75,1x35,1817,91.67,83.33,12
westland-infra,871687800090000015,PLEIN,2291CC,2291CC,WATERINGEN,97.83,100.0,100,52,1x35,11491,100.0,93.48,46
westland-infra,871687800090000015,KERKLAAN,2291CD,2291CD,WATERINGEN,84.0,100.0,100,48,3x25,5550,100.0,96.0,25
westland-infra,871687800090000015,KERKLAAN,2291CE,2291CE,WATERINGEN,90.0,100.0,100,53,1x35,4305,100.0,76.67,30
westland-infra,871687800090000015,KERKLAAN,2291CG,2291CG,WATERINGEN,93.33,100.0,100,60,1x35,4340,93.33,86.67,15
westland-infra,871687800090000015,KERKLAAN,2291CH,2291CH,WATERINGEN,98.36,100.0,100,74,1x35,2968,98.36,75.41,61
westland-infra,871687800090000015,KERKLAAN,2291CJ,2291CL,WATERINGEN,91.43,100.0,100,69,3x25,4335,97.14,74.29,35
westland-infra,871687800090000015,HOFZICHT,2291CM,2291CM,WATERINGEN,100.0,100.0,100,94,1x35,3258,93.75,87.5,16
westland-infra,871687800090000015,HOFZICHT,2291CN,2291CN,WATERINGEN,86.67,100.0,100,73,1x35,3096,100.0,86.67,15
westland-infra,871687800090000015,HOFZICHT,2291CP,2291CP,WATERINGEN,70.59,100.0,100,82,1x35,2934,100.0,94.12,17
westland-infra,871687800090000015,HOFWIJK,2291CR,2291CR,WATERINGEN,92.31,100.0,100,92,1x35,3367,100.0,100.0,13
westland-infra,871687800090000015,HOFWIJK,2291CS,2291CS,WATERINGEN,100.0,100.0,100,79,1x35,2700,100.0,85.71,14
westland-infra,871687800090000015,HOFPARK,2291CT,2291CV,WATERINGEN,100.0,100.0,100,50,3x25,2608,100.0,66.67,18
westland-infra,871687800090000015,GANTELPLEIN,2291CW,2291CZ,WATERINGEN,96.55,100.0,100,76,1x35,3016,96.55,79.31,29
westland-infra,871687800090000015,VLEERSTEEG,2291DA,2291DB,WATERINGEN,100.0,100.0,100,69,1x35,3729,81.25,75.0,32
westland-infra,871687800090000015,BAKKERSHOF,2291DC,2291DC,WATERINGEN,100.0,100.0,100,93,1x35,2050,100.0,85.71,14
westland-infra,871687800090000015,BAKKERSHOF,2291DD,2291DD,WATERINGEN,100.0,100.0,100,77,1x35,1843,100.0,82.86,35
westland-infra,871687800090000015,BAKKERSHOF,2291DE,2291DE,WATERINGEN,100.0,100.0,100,69,1x35,3230,97.44,76.92,39
westland-infra,871687800090000015,WATERSTAATSPAD,2291DG,2291DX,WATERINGEN,80.77,100.0,100,71,1x35,2897,98.08,73.08,52
westland-infra,871687800090000015,AMBACHTSHOF,2291DZ,2291EA,WATERINGEN,85.71,100.0,100,61,1x35,4805,100.0,82.14,28
westland-infra,871687800090000015,NOORDWEG,2291EB,2291EE,WATERINGEN,72.22,100.0,100,72,3x25,5522,100.0,94.44,18
westland-infra,871687800090000015,POORTWEIDE,2291EH,2291EH,WATERINGEN,100.0,100.0,100,78,1x35,2126,100.0,87.5,32
westland-infra,871687800090000015,POORTWEIDE,2291EJ,2291EJ,WATERINGEN,100.0,100.0,100,78,1x35,2482,100.0,90.0,40
westland-infra,871687800090000015,ERASMUSWEG,2291EK,2291EN,WATERINGEN,96.55,100.0,100,48,1x35,2999,96.55,65.52,29
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291EP,2291EP,WATERINGEN,83.33,100.0,100,75,1x35,3009,100.0,95.83,24
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291ER,2291ER,WATERINGEN,100.0,100.0,100,87,1x35,2669,100.0,91.3,23
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291ES,2291ES,WATERINGEN,93.75,100.0,100,88,1x35,3778,93.75,87.5,16
westland-infra,871687800090000015,PRINS BERNHARDSTRAAT,2291ET,2291ET,WATERINGEN,100.0,100.0,100,67,1x35,3056,80.0,60.0,15
westland-infra,871687800090000015,AMBACHTSWEG,2291EV,2291EV,WATERINGEN,92.86,100.0,100,57,1x35,9469,100.0,78.57,14
westland-infra,871687800090000015,AMBACHTSWEG,2291EW,2291EW,WATERINGEN,90.0,100.0,100,70,1x35,4425,100.0,90.0,10
westland-infra,871687800090000015,AMBACHTSWEG,2291EX,2291EX,WATERINGEN,85.71,100.0,100,67,1x35,3662,100.0,80.95,21
westland-infra,871687800090000015,AMBACHTSWEG,2291EZ,2291EZ,WATERINGEN,92.86,100.0,100,54,1x35,4284,96.43,78.57,28
westland-infra,871687800090000015,POELDIJKSEWEG,2291GA,2291GA,WATERINGEN,86.36,100.0,100,59,3x25,16881,86.36,63.64,22
westland-infra,871687800090000015,POELDIJKSEWEG,2291GB,2291GB,WATERINGEN,90.91,100.0,100,55,3x25,5166,90.91,72.73,11
westland-infra,871687800090000015,POELDIJKSEWEG,2291GC,2291GE,WATERINGEN,88.0,100.0,100,52,3x25,7466,96.0,80.0,25
westland-infra,871687800090000015,MARKUSLAAN,2291GG,2291GG,WATERINGEN,78.57,100.0,100,86,3x25,5860,100.0,78.57,14
westland-infra,871687800090000015,BLAUWE AKELEI,2291GH,2291GH,WATERINGEN,80.0,100.0,100,60,1x35,4081,100.0,90.0,10
westland-infra,871687800090000015,ROZEMARIJN,2291GJ,2291GJ,WATERINGEN,91.67,100.0,100,58,1x35,3043,83.33,62.5,24
westland-infra,871687800090000015,ROZEMARIJN,2291GK,2291GK,WATERINGEN,100.0,100.0,100,76,1x35,2100,85.71,85.71,21
westland-infra,871687800090000015,ROZEMARIJN,2291GL,2291GL,WATERINGEN,100.0,100.0,100,94,1x35,1448,100.0,100.0,16
westland-infra,871687800090000015,ROZEMARIJN,2291GM,2291GM,WATERINGEN,86.67,100.0,100,80,1x35,3079,93.33,86.67,15
westland-infra,871687800090000015,ROZEMARIJN,2291GN,2291GN,WATERINGEN,69.57,100.0,100,52,3x25,2851,100.0,82.61,23
westland-infra,871687800090000015,ROZEMARIJN,2291GP,2291GR,WATERINGEN,64.29,100.0,100,71,1x35,2625,96.43,85.71,28
