net_manager,purchase_area,street,zipcode_from,zipcode_to,city,delivery_perc,perc_of_active_connections,%Defintieve aansl (NRM),type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,num_connections
westland-infra,871687800090000015,OOSTEINDE,2291AA,2291AE,WATERINGEN,89.66,100.0,100,59,3x25,7029,96.55,72.41,29
westland-infra,871687800090000015,WATERPARK,2291AK,2291AK,WATERINGEN,87.5,100.0,100,63,1x35,5411,100.0,82.5,40
westland-infra,871687800090000015,AZALEAPARK,2291AL,2291AL,WATERINGEN,100.0,100.0,100,86,1x35,3239,100.0,96.55,29
westland-infra,871687800090000015,DRUIVENLAAN,2291AN,2291AT,WATERINGEN,69.05,97.62,100,71,3x25,5364,100.0,88.1,42
westland-infra,871687800090000015,KWAKLAAN,2291AV,2291AV,WATERINGEN,100.0,100.0,100,81,1x35,2949,100.0,87.5,16
westland-infra,871687800090000015,VLOTLAAN,2291AW,2291AX,WATERINGEN,96.3,100.0,100,81,1x35,2197,92.59,85.19,27
westland-infra,871687800090000015,VLIETLAAN,2291AZ,2291AZ,WATERINGEN,95.83,100.0,100,88,1x35,2720,95.83,79.17,24
westland-infra,871687800090000015,HERENSTRAAT,2291BB,2291BB,WATERINGEN,96.55,100.0,100,41,3x25,11828,96.55,58.62,29
westland-infra,871687800090000015,HERENSTRAAT,2291BC,2291BC,WATERINGEN,100.0,100.0,100,50,3x25,9402,100.0,83.33,12
westland-infra,871687800090000015,HERENSTRAAT,2291BD,2291BG,WATERINGEN,100.0,100.0,100,27,1x35,14869,86.67,80.0,15
westland-infra,871687800090000015,HERENSTRAAT,2291BH,2291BH,WATERINGEN,100.0,100.0,100,50,1x35,10182,88.89,72.22,18
westland-infra,871687800090000015,HERENSTRAAT,2291BJ,2291BK,WATERINGEN,96.3,100.0,100,63,3x25,8572,96.3,62.96,27
westland-infra,871687800090000015,HERENSTRAAT,2291BL,2291BR,WATERINGEN,95.45,100.0,100,61,1x35,3190,90.91,84.09,44
westland-infra,871687800090000015,ARKPAVILJOEN,2291BS,2291BS,WATERINGEN,100.0,100.0,100,89,1x35,1319,100.0,83.33,18
westland-infra,871687800090000015,ARKPAVILJOEN,2291BT,2291BT,WATERINGEN,100.0,100.0,100,82,1x35,1305,100.0,76.47,17
westland-infra,871687800090000015,ARKPAVILJOEN,2291BV,2291BV,WATERINGEN,100.0,100.0,100,80,1x35,1300,100.0,80.0,20
westland-infra,871687800090000015,HEULWEG,2291BW,2291BW,WATERINGEN,92.31,100.0,100,54,3x25,4507,100.0,46.15,13
westland-infra,871687800090000015,HEULWEG,2291BX,2291BZ,WATERINGEN,82.61,100.0,100,57,3x25,5783,100.0,73.91,23
westland-infra,871687800090000015,PLEIN,2291CA,2291CA,WATERINGEN,95.0,100.0,100,40,3x25,20280,90.0,65.0,20
westland-infra,871687800090000015,PLEIN,2291CB,2291CB,WATERINGEN,100.0,100.0,100,75,1x35,1874,91.67,83.33,12
westland-infra,871687800090000015,PLEIN,2291CC,2291CC,WATERINGEN,97.87,100.0,100,51,1x35,12214,97.87,89.36,47
westland-infra,871687800090000015,KERKLAAN,2291CD,2291CD,WATERINGEN,84.0,100.0,100,56,3x25,5124,100.0,96.0,25
westland-infra,871687800090000015,KERKLAAN,2291CE,2291CE,WATERINGEN,93.33,100.0,100,53,1x35,4277,100.0,76.67,30
westland-infra,871687800090000015,KERKLAAN,2291CG,2291CG,WATERINGEN,93.33,100.0,100,60,1x35,4532,93.33,80.0,15
westland-infra,871687800090000015,KERKLAAN,2291CH,2291CH,WATERINGEN,98.33,100.0,100,72,1x35,3833,98.33,73.33,60
westland-infra,871687800090000015,KERKLAAN,2291CJ,2291CL,WATERINGEN,94.12,100.0,100,68,3x25,4695,97.06,73.53,34
westland-infra,871687800090000015,HOFZICHT,2291CM,2291CM,WATERINGEN,100.0,100.0,100,94,1x35,2193,93.75,87.5,16
westland-infra,871687800090000015,HOFZICHT,2291CN,2291CN,WATERINGEN,100.0,100.0,100,73,1x35,3532,100.0,86.67,15
westland-infra,871687800090000015,HOFZICHT,2291CP,2291CP,WATERINGEN,100.0,100.0,100,76,1x35,2913,94.12,94.12,17
westland-infra,871687800090000015,HOFWIJK,2291CR,2291CR,WATERINGEN,92.31,100.0,100,92,1x35,3398,100.0,100.0,13
westland-infra,871687800090000015,HOFWIJK,2291CS,2291CS,WATERINGEN,100.0,100.0,100,79,1x35,2692,100.0,85.71,14
westland-infra,871687800090000015,HOFPARK,2291CT,2291CV,WATERINGEN,100.0,100.0,100,50,3x25,2829,100.0,61.11,18
westland-infra,871687800090000015,GANTELPLEIN,2291CW,2291CZ,WATERINGEN,96.55,100.0,100,76,1x35,3182,96.55,79.31,29
westland-infra,871687800090000015,VLEERSTEEG,2291DA,2291DB,WATERINGEN,100.0,100.0,100,69,1x35,6046,68.75,75.0,32
westland-infra,871687800090000015,BAKKERSHOF,2291DC,2291DC,WATERINGEN,100.0,100.0,100,93,1x35,2339,100.0,85.71,14
westland-infra,871687800090000015,BAKKERSHOF,2291DD,2291DD,WATERINGEN,100.0,100.0,100,74,1x35,1567,100.0,77.14,35
westland-infra,871687800090000015,BAKKERSHOF,2291DE,2291DE,WATERINGEN,100.0,100.0,100,69,1x35,5631,97.44,74.36,39
westland-infra,871687800090000015,WATERSTAATSPAD,2291DG,2291DX,WATERINGEN,86.54,100.0,100,71,1x35,3419,100.0,73.08,52
westland-infra,871687800090000015,AMBACHTSHOF,2291DZ,2291EA,WATERINGEN,96.3,100.0,100,59,1x35,4641,100.0,81.48,27
westland-infra,871687800090000015,NOORDWEG,2291EB,2291EE,WATERINGEN,88.24,100.0,100,71,3x25,5873,100.0,88.24,17
westland-infra,871687800090000015,POORTWEIDE,2291EH,2291EH,WATERINGEN,100.0,100.0,100,75,1x35,2202,100.0,84.38,32
westland-infra,871687800090000015,POORTWEIDE,2291EJ,2291EJ,WATERINGEN,100.0,100.0,100,78,1x35,2590,100.0,90.0,40
westland-infra,871687800090000015,ERASMUSWEG,2291EK,2291EN,WATERINGEN,96.55,100.0,100,48,1x35,3641,96.55,65.52,29
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291EP,2291EP,WATERINGEN,95.83,100.0,100,75,1x35,3374,100.0,95.83,24
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291ER,2291ER,WATERINGEN,100.0,100.0,100,77,1x35,2702,95.45,81.82,22
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291ES,2291ES,WATERINGEN,100.0,100.0,100,81,1x35,4191,93.75,87.5,16
westland-infra,871687800090000015,PRINS BERNHARDSTRAAT,2291ET,2291ET,WATERINGEN,100.0,100.0,100,60,1x35,3386,73.33,60.0,15
westland-infra,871687800090000015,AMBACHTSWEG,2291EV,2291EV,WATERINGEN,93.33,100.0,100,60,1x35,9456,100.0,80.0,15
westland-infra,871687800090000015,AMBACHTSWEG,2291EW,2291EW,WATERINGEN,100.0,100.0,100,70,1x35,4012,100.0,90.0,10
westland-infra,871687800090000015,AMBACHTSWEG,2291EX,2291EX,WATERINGEN,90.91,100.0,100,55,1x35,3383,100.0,68.18,22
westland-infra,871687800090000015,AMBACHTSWEG,2291EZ,2291EZ,WATERINGEN,92.86,100.0,100,54,1x35,5275,96.43,78.57,28
westland-infra,871687800090000015,POELDIJKSEWEG,2291GA,2291GA,WATERINGEN,86.96,100.0,100,57,3x25,12851,86.96,52.17,23
westland-infra,871687800090000015,POELDIJKSEWEG,2291GB,2291GB,WATERINGEN,100.0,100.0,100,64,3x25,4967,90.91,72.73,11
westland-infra,871687800090000015,POELDIJKSEWEG,2291GC,2291GC,WATERINGEN,100.0,100.0,100,50,3x25,18456,90.0,60.0,10
westland-infra,871687800090000015,KORTE NOORDWEG,2291GE,2291GE,WATERINGEN,88.89,100.0,100,50,1x35,11559,100.0,83.33,18
westland-infra,871687800090000015,MARKUSLAAN,2291GG,2291GG,WATERINGEN,100.0,100.0,100,73,3x25,5944,100.0,73.33,15
westland-infra,871687800090000015,BLAUWE AKELEI,2291GH,2291GH,WATERINGEN,100.0,100.0,100,60,1x35,3905,100.0,90.0,10
westland-infra,871687800090000015,ROZEMARIJN,2291GJ,2291GJ,WATERINGEN,100.0,100.0,100,58,1x35,2874,87.5,62.5,24
westland-infra,871687800090000015,ROZEMARIJN,2291GK,2291GK,WATERINGEN,100.0,100.0,100,75,1x35,2191,85.0,85.0,20
westland-infra,871687800090000015,ROZEMARIJN,2291GL,2291GL,WATERINGEN,100.0,100.0,100,94,1x35,1917,100.0,100.0,16
westland-infra,871687800090000015,ROZEMARIJN,2291GM,2291GM,WATERINGEN,93.33,100.0,100,80,1x35,3852,93.33,86.67,15
westland-infra,871687800090000015,ROZEMARIJN,2291GN,2291GN,WATERINGEN,73.91,100.0,100,52,1x35,2982,100.0,73.91,23
westland-infra,871687800090000015,ROZEMARIJN,2291GP,2291GR,WATERINGEN,85.71,100.0,100,75,1x35,2914,96.43,85.71,28
westland-infra,871687800090000015,DE MEIBLOEM,2291GS,2291GS,WATERINGEN,88.89,100.0,100,94,1x35,3397,100.0,100.0,18
westland-infra,871687800090000015,DE MEIBLOEM,2291GT,2291GT,WATERINGEN,94.74,100.0,100,74,1x35,3012,100.0,89.47,19
westland-infra,871687800090000015,DE HOORNBLOEM,2291GV,2291GV,WATERINGEN,100.0,100.0,100,69,1x35,3553,100.0,76.92,13
westland-infra,871687800090000015,GELE MEERBLOEM,2291GW,2291GW,WATERINGEN,100.0,100.0,100,86,1x35,2589,100.0,90.91,22
westland-infra,871687800090000015,GELE MEERBLOEM,2291GX,2291GX,WATERINGEN,100.0,100.0,100,94,1x35,2161,100.0,94.44,18
westland-infra,871687800090000015,WILLIGE RIJZEN,2291GZ,2291HM,WATERINGEN,98.68,100.0,100,51,1x35,8616,94.74,75.0,76
